Grid	 = 128x128
numProcs = 16
left	 = 1.0
top		 = 1.0
right	 = 80.0
bottom	 = 80.0
epsilon	 = 0.1
execution time = 156 seconds, 177882 microseconds

	1.00000 0.963232 0.927008 0.891858 0.858249 0.826602 0.797232 0.770399 0.746231 0.724805 0.706078 0.689970 0.676307 0.664906 0.655522 0.647926 0.641859 0.637096 0.633406 0.630595 0.628483 0.626923 0.625786 0.624972 0.624396 0.623997 0.623723 0.623538 0.623416 0.623336 0.623285 0.623252 0.623232 0.623219 0.623212 0.623208 0.623205 0.623203 0.623203 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623202 0.623203 0.623205 0.623208 0.623214 0.623226 0.623247 0.623286 0.623357 0.623482 0.623700 0.624074 0.624707 0.625757 0.627476 0.630245 0.634640 0.641501 0.652065 0.668065 0.691968 0.727106 0.778068 0.850829 0.953346 1.09561 1.29052 1.55369 1.90469 2.36651 2.96720 3.73898 4.72056 5.95610 7.49878 9.41055 11.7682 14.6660 18.2266 22.6095 28.0281 34.7591 43.1398 53.5012 65.9627 80.0000 
	1.00000 0.955020 0.910712 0.867708 0.826602 0.787880 0.751964 0.719129 0.689578 0.663359 0.640464 0.620751 0.604050 0.590096 0.578627 0.569330 0.561917 0.556087 0.551578 0.548138 0.545558 0.543649 0.542261 0.541264 0.540561 0.540072 0.539738 0.539512 0.539363 0.539265 0.539202 0.539162 0.539138 0.539122 0.539113 0.539108 0.539105 0.539103 0.539102 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539101 0.539102 0.539104 0.539108 0.539116 0.539130 0.539156 0.539204 0.539290 0.539442 0.539708 0.540164 0.540934 0.542214 0.544306 0.547680 0.553026 0.561383 0.574230 0.593707 0.622757 0.665497 0.727382 0.815789 0.940136 1.11273 1.34875 1.66736 2.09136 2.64874 3.37175 4.29893 5.47373 6.94729 8.77681 11.0297 13.7826 17.1276 21.1725 26.0487 31.9091 38.9267 47.2652 57.0182 68.0827 80.0000 
	1.00000 0.947404 0.895588 0.845308 0.797232 0.751964 0.709956 0.671575 0.637009 0.606365 0.579584 0.556547 0.537010 0.520707 0.507290 0.496429 0.487758 0.480948 0.475674 0.471657 0.468639 0.466410 0.464785 0.463622 0.462800 0.462229 0.461838 0.461575 0.461400 0.461286 0.461212 0.461166 0.461137 0.461119 0.461109 0.461102 0.461099 0.461096 0.461095 0.461095 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461094 0.461095 0.461096 0.461098 0.461103 0.461111 0.461128 0.461158 0.461214 0.461314 0.461492 0.461801 0.462331 0.463227 0.464715 0.467151 0.471072 0.477294 0.487003 0.501944 0.524560 0.558320 0.607908 0.679753 0.782213 0.926367 1.12609 1.39917 1.76704 2.25626 2.89774 3.72858 4.79053 6.13236 7.80755 9.87741 12.4082 15.4753 19.1600 23.5536 28.7532 34.8604 41.9663 50.1297 59.3293 69.4043 80.0000 
	1.00000 0.940441 0.881770 0.824828 0.770399 0.719129 0.671575 0.628103 0.588978 0.554269 0.523959 0.497866 0.475759 0.457291 0.442112 0.429810 0.420001 0.412287 0.406322 0.401772 0.398359 0.395834 0.393998 0.392680 0.391751 0.391105 0.390663 0.390365 0.390168 0.390038 0.389956 0.389903 0.389870 0.389850 0.389838 0.389831 0.389827 0.389824 0.389823 0.389822 0.389822 0.389822 0.389822 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389821 0.389822 0.389822 0.389822 0.389823 0.389824 0.389827 0.389832 0.389841 0.389860 0.389894 0.389957 0.390070 0.390270 0.390618 0.391216 0.392224 0.393901 0.396641 0.401058 0.408055 0.418986 0.435781 0.461225 0.499147 0.554885 0.635507 0.750523 0.912063 1.13587 1.44129 1.85251 2.39815 3.11279 4.03571 5.21286 6.69452 8.53764 10.8025 13.5554 16.8643 20.8016 25.4382 30.8439 37.0769 44.1757 52.1363 60.8891 70.2681 80.0000 
	1.00000 0.934174 0.869325 0.806397 0.746231 0.689578 0.637009 0.588978 0.545726 0.507382 0.473874 0.445052 0.420612 0.400217 0.383436 0.369852 0.359007 0.350492 0.343898 0.338876 0.335103 0.332317 0.330287 0.328833 0.327806 0.327093 0.326605 0.326276 0.326058 0.325916 0.325824 0.325766 0.325730 0.325708 0.325695 0.325687 0.325682 0.325680 0.325678 0.325677 0.325677 0.325677 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325676 0.325677 0.325677 0.325678 0.325679 0.325682 0.325688 0.325698 0.325718 0.325756 0.325825 0.325949 0.326169 0.326552 0.327208 0.328317 0.330158 0.333170 0.338017 0.345705 0.357697 0.376138 0.404034 0.445638 0.506693 0.595043 0.720880 0.897635 1.14209 1.47558 1.92370 2.51779 3.29396 4.29479 5.56726 7.16467 9.14328 11.5643 14.4893 17.9820 22.1019 26.9057 32.4378 38.7282 45.7787 53.5536 61.9624 70.8509 80.0000 
	1.00000 0.933888 0.868681 0.805239 0.744368 0.686744 0.632954 0.583406 0.538401 0.498056 0.462393 0.431271 0.404493 0.381739 0.362674 0.346895 0.334016 0.323628 0.315364 0.308866 0.303825 0.299957 0.297029 0.294835 0.293213 0.292026 0.291167 0.290553 0.290118 0.289814 0.289603 0.289458 0.289359 0.289293 0.289249 0.289220 0.289201 0.289189 0.289181 0.289176 0.289172 0.289170 0.289169 0.289168 0.289168 0.289168 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289167 0.289168 0.289168 0.289168 0.289169 0.289171 0.289173 0.289178 0.289186 0.289199 0.289222 0.289259 0.289321 0.289422 0.289586 0.289847 0.290263 0.290917 0.291937 0.293514 0.295929 0.299594 0.305107 0.313316 0.325436 0.343143 0.368780 0.405500 0.457601 0.530705 0.632274 0.771786 0.961459 1.21633 1.55519 2.00040 2.57905 3.32215 4.26607 5.45083 6.92163 8.72611 10.9159 13.5428 16.6599 20.3167 24.5600 29.4266 34.9434 41.1174 47.9327 55.3392 63.2480 71.5257 80.0000 
	1.00000 0.933185 0.867217 0.802920 0.741037 0.682246 0.627084 0.575996 0.529258 0.487055 0.449402 0.416244 0.387388 0.362600 0.341550 0.323905 0.309279 0.297310 0.287623 0.279881 0.273759 0.268978 0.265283 0.262463 0.260331 0.258740 0.257563 0.256704 0.256082 0.255637 0.255321 0.255101 0.254947 0.254842 0.254771 0.254723 0.254691 0.254670 0.254656 0.254647 0.254641 0.254638 0.254636 0.254634 0.254633 0.254633 0.254633 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254632 0.254633 0.254633 0.254634 0.254636 0.254639 0.254644 0.254653 0.254668 0.254693 0.254735 0.254805 0.254918 0.255102 0.255396 0.255861 0.256590 0.257722 0.259460 0.262103 0.266079 0.272006 0.280744 0.293510 0.311957 0.338363 0.375756 0.428201 0.500960 0.600923 0.736761 0.919529 1.16273 1.48311 1.90046 2.43864 3.12488 3.99094 5.07179 6.40678 8.03740 10.0086 12.3652 15.1536 18.4166 22.1952 26.5220 31.4222 36.9065 42.9695 49.5827 56.6920 64.2121 72.0283 80.0000 
	1.00000 0.931951 0.864724 0.799106 0.735837 0.675557 0.618828 0.566065 0.517594 0.473579 0.434102 0.399097 0.368440 0.341890 0.319178 0.299964 0.283907 0.270632 0.259791 0.251032 0.244039 0.238515 0.234204 0.230873 0.228330 0.226408 0.224973 0.223912 0.223137 0.222576 0.222174 0.221890 0.221691 0.221553 0.221459 0.221395 0.221352 0.221323 0.221305 0.221292 0.221285 0.221280 0.221277 0.221275 0.221273 0.221273 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221272 0.221273 0.221273 0.221275 0.221277 0.221281 0.221288 0.221301 0.221322 0.221358 0.221417 0.221515 0.221674 0.221930 0.222338 0.222980 0.223980 0.225520 0.227871 0.231417 0.236712 0.244533 0.255970 0.272509 0.296190 0.329725 0.376742 0.441938 0.531442 0.652969 0.816327 1.03350 1.31933 1.69138 2.17076 2.78169 3.55235 4.51390 5.70141 7.15207 8.90613 11.0041 13.4879 16.3967 19.7680 23.6330 28.0167 32.9326 38.3828 44.3514 50.8047 57.6859 64.9161 72.3937 80.0000 
	1.00000 0.930452 0.861711 0.794559 0.729715 0.667835 0.609455 0.555026 0.504855 0.459153 0.417987 0.381347 0.349093 0.321037 0.296897 0.276374 0.259113 0.244767 0.232970 0.223384 0.215675 0.209550 0.204733 0.200990 0.198111 0.195922 0.194275 0.193051 0.192149 0.191493 0.191021 0.190685 0.190448 0.190283 0.190169 0.190092 0.190039 0.190005 0.189982 0.189967 0.189957 0.189951 0.189947 0.189944 0.189943 0.189942 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189941 0.189942 0.189943 0.189944 0.189947 0.189953 0.189962 0.189978 0.190005 0.190050 0.190124 0.190246 0.190445 0.190763 0.191268 0.192060 0.193289 0.195176 0.198040 0.202343 0.208734 0.218128 0.231783 0.251428 0.279373 0.318723 0.373512 0.449025 0.551942 0.690783 0.876016 1.12063 1.44010 1.85308 2.38109 3.04930 3.88571 4.92198 6.19196 7.73247 9.58102 11.7765 14.3561 17.3557 20.8062 24.7336 29.1546 34.0768 39.4938 45.3852 51.7126 58.4204 65.4335 72.6614 80.0000 
	1.00000 0.928853 0.858512 0.789749 0.723296 0.659792 0.599800 0.543754 0.491997 0.444725 0.402048 0.363938 0.330300 0.300930 0.275584 0.253943 0.235681 0.220433 0.207851 0.197576 0.189283 0.182660 0.177432 0.173348 0.170195 0.167785 0.165965 0.164605 0.163600 0.162865 0.162334 0.161954 0.161685 0.161497 0.161367 0.161278 0.161218 0.161178 0.161151 0.161134 0.161123 0.161115 0.161111 0.161108 0.161106 0.161105 0.161104 0.161104 0.161104 0.161104 0.161104 0.161104 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161103 0.161104 0.161104 0.161104 0.161104 0.161104 0.161105 0.161106 0.161108 0.161112 0.161118 0.161129 0.161148 0.161180 0.161233 0.161321 0.161465 0.161699 0.162072 0.162662 0.163585 0.165012 0.167195 0.170499 0.175441 0.182758 0.193466 0.208976 0.231185 0.262658 0.306759 0.367914 0.451772 0.565574 0.718293 0.921128 1.18754 1.53387 1.97913 2.54568 3.25871 4.14684 5.24108 6.57541 8.18494 10.1065 12.3758 15.0283 18.0952 21.6042 25.5754 30.0214 34.9433 40.3311 46.1595 52.3894 58.9648 65.8158 72.8586 80.0000 
